人物,出现次数
宋江,766
武松,520
林冲,366
李逵,362
鲁智深,244
吴用,177
晁盖,157
杨志,126
石秀,121
花荣,112
戴宗,112
呼延,112
柴进,107
朱仝,104
史进,101
潘金莲,97
秦明,95
杨雄,89
王婆,88
卢俊义,85
